time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,-0.0670823926019,0.0689517880277,11.5536842557,0.0169966617089,0.0716960097953,0.0,-0.286470933046,0.13752337142,2.46376450004,0.0170342398054,0.141634449535,0.0,446.72098286452376,448.9870695012477,446.78305772092517,446.9033733217818
1.3800000000000008,-0.0856151003123,0.0775173776653,11.7021580903,0.0177231358495,0.080272700795,0.0,-0.332054622126,0.148075256556,2.48524748855,-0.000227784950706,0.145441838238,0.0,416.9997855301437,417.3527405760539,419.5299984181812,418.0284239655685
1.4400000000000008,-0.107439093115,0.0868123304502,11.8567606412,0.0182138260728,0.0890822300679,0.0,-0.3963797465,0.161778656589,2.66766336063,0.0211737097295,0.149455309199,0.0,469.19693911351425,469.5273438647263,467.75848956529603,469.42205249138453
1.5000000000000009,-0.132995644002,0.0968779758983,12.0186417691,0.0195407754361,0.0979138924889,0.0,-0.456348746683,0.173862995095,2.72813247947,0.0239362561216,0.142245150753,0.0,432.7975064861145,432.21117203782103,431.7636259073129,431.9966655121261
1.560000000000001,-0.162446850017,0.107719568926,12.1853927169,0.0206391393083,0.106309403968,0.0,-0.526200022608,0.187649040703,2.82987266101,0.00360019924467,0.134833161692,0.0,445.4629077474261,444.87452677670495,447.4450899319209,445.7864074376829
1.620000000000001,-0.196324068341,0.119418254607,12.3588035082,0.0212056108973,0.11422232522,0.0,-0.603849339298,0.202340964966,2.95006313184,0.0191169351142,0.125215900034,0.0,452.7985114014958,452.0397583277132,451.8001562088898,453.04937577823574
1.680000000000001,-0.235292727292,0.132062611245,12.5416882849,0.0227259084009,0.122109021872,0.0,-0.695942837284,0.219280305971,3.14543219904,0.0355337435564,0.141642675284,0.0,475.5058676094708,476.7770248664809,475.3274202804566,476.58392812361336
1.740000000000001,-0.27953456256,0.145680033993,12.7327091229,0.0249774636625,0.130687461529,0.0,-0.779600332539,0.234841100423,3.22156581164,0.0412381856174,0.145509012642,0.0,440.93644816992514,441.27496307003094,440.44818614975986,440.9204016745317
1.8000000000000012,-0.328902608954,0.160263946186,12.9277728354,0.0276387643811,0.139780069753,0.0,-0.866836404825,0.251527215964,3.28022212372,0.0499538819225,0.161474814235,0.0,435.69798919163003,437.05268592340457,435.43559302066825,436.1652796158693
1.8600000000000012,-0.384037688431,0.175971597369,13.128796967,0.0301139021045,0.149336773235,0.0,-0.971979232612,0.272351404125,3.41995215139,0.0115907212935,0.154484513473,0.0,463.0559924659888,462.5287077606678,463.29560074735394,460.2700204060337
1.9200000000000013,-0.44553596684,0.19294090202,13.337144885,0.0306677792887,0.159838941438,0.0,-1.07894642199,0.293339024371,3.52442927019,0.00403684062531,0.199334385484,0.0,451.1768014933011,454.81056171499455,452.7693557041683,452.1610681176815
1.9800000000000013,-0.512828850031,0.211017824335,13.5465142704,0.0306889458133,0.171721933884,0.0,-1.16510203736,0.309234729233,3.45454746661,-0.00828014392924,0.195353232243,0.0,396.4141466517909,396.09171126081264,396.0026378761543,394.86792973699283
